Page ID,Page Name,Disclaimer,Amount Spent (EUR)
428670174395114,Vattenfall Nederland,Vattenfall Nederland,≤100
57729029960,Amnesty International Nederland,Amnesty International Nederland,≤100
52985377549,D66,D66,≤100
288295911466,Greenpeace Nederland,Greenpeace Nederland,≤100
111622410196045,State of Youth,KidsRights with Facebook ad credits,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
428670174395114,Vattenfall Nederland,These ads ran without a disclaimer,≤100
110540418715,VIER VOETERS,These ads ran without a disclaimer,≤100
2241043106147283,Op Koopjesjacht in Staphorst,These ads ran without a disclaimer,≤100
120034538112114,Stichting Vluchteling,Stichting Vluchteling,≤100
143913725639896,WOMEN Inc.,WOMEN Inc.,≤100
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie -FVD,≤100
1830425247191865,Cordaid,Cordaid,≤100
170725579702314,ActionAid Nederland,ActionAid,≤100
142420873374697,Eerlijk Pensioenlabel,Eerlijk Pensioenlabel,≤100
371014006815988,Unilever Benelux,Unilever,≤100
115289021825188,Oxfam Novib,Oxfam Novib,≤100
130133230331245,Wereld Natuur Fonds - WWF,Wereld Natuur Fonds - WWF,≤100
1501788100127143,Jonge Klimaatbeweging,Jonge Klimaatbeweging,≤100
159449970751999,Save the Children Nederland,Save the Children Nederland,≤100
194968000513826,Volkswagen,These ads ran without a disclaimer,≤100
287790698753359,USR Diaspora - Olanda,Uniunea Salvați România - USR,≤100
1853495178284518,MBRC,MBRC,≤100
206592029351928,ABN AMRO,ABN AMRO,≤100
891751564326921,Citizen Watch,These ads ran without a disclaimer,≤100
100310298568268,Frederik Jansen,Forum voor Democratie -FVD,≤100
444952989574557,EasyEco,These ads ran without a disclaimer,≤100
383549209125995,Eaulux,Eaulux,≤100
126052760507,Mama Cash,Mama Cash,≤100
481189648571584,overbevolking.nl - Club van Tien Miljoen,overbevolking.nl - Club van Tien Miljoen,≤100
293838494833918,Reuswable,These ads ran without a disclaimer,≤100
249703275379288,Schildje: Maakt kindermishandeling bespreekbaar,These ads ran without a disclaimer,≤100
303441783113756,De Verhalen van Groningen,De Verhalen van Groningen,≤100
1627285417404676,Fridays For Future Netherlands,Klimaatstaking,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
714412628668403,Authentieke Dag Vreeswijk,These ads ran without a disclaimer,≤100
110103959685631,Curriculum.nu,These ads ran without a disclaimer,≤100
116237619746264,Klopan,These ads ran without a disclaimer,≤100
107898832590939,European Commission,European Commission,≤100
203197030603239,8 Billion Trees,These ads ran without a disclaimer,≤100
134781443867331,Dubbelbourgondisch.nl,These ads ran without a disclaimer,≤100
