Page ID,Page Name,Disclaimer,Amount Spent (EUR)
86874647886,Net.hr,Net.hr,497
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,466
178362315106,European Parliament,European Parliament,460
1575164029415898,Zoran Milanović,Zoran Milanović,384
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,280
107898832590939,European Commission,European Commission,266
129634970518,SDP Hrvatske,SDP Hrvatske,245
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,186
106928174232844,Domovinski pokret,Domovinski pokret,127
688325737947866,Telegram.hr,Telegram.hr,121
127718107295530,Miroslav Škoro,Miroslav Škoro,115
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,≤100
1033521746799310,Grad Gospić,Grad Gospić,≤100
122081620813,DNEVNIK.hr,NOVA TV,≤100
1252295741481540,Miro Bulj,MOST nezavisnih lista,≤100
215352389056472,Igor Meić,Igor Meić,≤100
382700868516005,Karlo Starčević,Hrvatska stranka prava - HSP,≤100
1781165065440754,N1 Hrvatska,N1 Hrvatska,≤100
633028036739134,Andrej Plenković,Andrej Plenković,≤100
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,≤100
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,≤100
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,≤100
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
389724134384503,Davor Bernardić,SDP Hrvatske,≤100
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,≤100
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,≤100
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,≤100
104232571329705,Ivan Malenica,HDZ - Hrvatska demokratska zajednica,≤100
140693889702485,Hrvatskadanas,Hrvatskadanas,≤100
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,≤100
