Page ID,Page Name,Disclaimer,Amount Spent (EUR)
406059206159790,HDZ - Hrvatska demokratska zajednica,HDZ - Hrvatska demokratska zajednica,1293
86874647886,Net.hr,Net.hr,1232
178362315106,European Parliament,European Parliament,1196
308923469174619,Kolinda Grabar-Kitarović,Kolinda Grabar-Kitarović,882
1575164029415898,Zoran Milanović,Zoran Milanović,797
107898832590939,European Commission,European Commission,636
388550077899912,MOST nezavisnih lista,MOST nezavisnih lista,573
129634970518,SDP Hrvatske,SDP Hrvatske,523
688325737947866,Telegram.hr,Telegram.hr,360
106928174232844,Domovinski pokret,Domovinski pokret,345
633028036739134,Andrej Plenković,HDZ - Hrvatska demokratska zajednica,274
127718107295530,Miroslav Škoro,Miroslav Škoro,270
1252295741481540,Miro Bulj,MOST nezavisnih lista,263
215352389056472,Igor Meić,Igor Meić,250
1781165065440754,N1 Hrvatska,N1 Hrvatska,219
122081620813,DNEVNIK.hr,NOVA TV,207
162757077095963,SDP Šibenik,These ads ran without a disclaimer,191
100267330025110,Slobodna Dalmacija,Slobodna Dalmacija,190
167619146997356,Hrvoje Zekanović,Hrvoje Zekanović,184
633028036739134,Andrej Plenković,Andrej Plenković,181
104232571329705,Ivan Malenica,HDZ - Hrvatska demokratska zajednica,177
1064762700374086,Možemo - politička platforma,Možemo - politička platforma,172
480559052058396,Europska komisija u Hrvatskoj,Predstavništvo Europske komisije u Hrvatskoj,164
426737060720348,Mladež HDZ,HDZ - Hrvatska demokratska zajednica,160
350640391803012,Bandić Milan 365 - Stranka rada i solidarnosti,These ads ran without a disclaimer,158
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,153
1939153246315289,Promijenimo Hrvatsku,Promijenimo Hrvatsku,137
941907929204784,Ivan Lovrinović,Promijenimo Hrvatsku,136
101936681413457,Ivan Gulam,FOKUS,133
882200528799871,Franko Vidović,Franko Vidović,130
421240981635243,Župan.hr,Župan.hr,130
140693889702485,Hrvatskadanas,Hrvatskadanas,129
1487935214842281,Faktograf.hr,Faktograf.hr,126
105926134090072,Dejan Kovač,Hrvatska socijalno-liberalna stranka,124
125701390812094,Akcija mladih,Kurelic Bojan,113
389724134384503,Davor Bernardić,SDP Hrvatske,109
359170097532754,Greenpeace Hrvatska,Greenpeace Hrvatska,108
1866961943559681,Anton Dobra,Anton Dobra,104
116509226849138,Tonči Restović,Tonči Restović,≤100
508795765833382,Europski parlament u Hrvatskoj,"Europski parlament, Ured za informiranje u Republici Hrvatskoj",≤100
2268602929863854,Ruža Kovačević Bilić,Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
584048385059605,Nezavisna lista Stipe Petrina,Nezavisna lista Stipe Petrina,≤100
141366725876424,European Greens,European Greens,≤100
1758512924436183,Nikola Grmoja,MOST nezavisnih lista,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
94301596592,RTL Vijesti,Vijesti.hr,≤100
382700868516005,Karlo Starčević,Hrvatska stranka prava - HSP,≤100
1110561955621886,Josip Bilaver,HDZ - Hrvatska demokratska zajednica,≤100
291638950941144,Živi zid,Živi zid,≤100
2344393559181359,Nezavisna Lista Mladih,Nezavisna Lista Mladih,≤100
219722938561797,Promet EU fondovi,"Ministarstvo mora, prometa i infrastrukture Republike Hrvatske",≤100
101936681413457,Ivan Gulam,Ivan Gulam,≤100
441675022557503,Valter Flego,IDS - Istarski Demokratski Sabor,≤100
380910765317966,Kaufland Hrvatska,Kaufland Hrvatska,≤100
108807981084209,Stvarnost.hr,Stvarnost.hr,≤100
110503984003109,Gordan Jandroković,Gordan Jandroković,≤100
111289382263907,SDP Split,SDP Hrvatske,≤100
105473794189484,FOCUS,Fokus Online,≤100
102198203158768,AgroKlub.com,AgroKlub.com,≤100
508795765833382,Europski parlament u Hrvatskoj,Europski parlament u Hrvatskoj,≤100
106276896145581,VELUX,VELUX,≤100
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,≤100
272201060331942,Karlo Ressler,HDZ - Hrvatska demokratska zajednica,≤100
770459529655215,Radnička Fronta,Radnička Fronta,≤100
139606619434725,Hrvatska narodna stranka - liberalni demokrati (HNS),Hrvatska narodna stranka - liberalni demokrati (HNS),≤100
103757233129920,Božo Petrov,MOST nezavisnih lista,≤100
581489628528785,Goran Pauk,HDZ - Hrvatska demokratska zajednica,≤100
1064307720291137,Sonja Čikotić,MOST nezavisnih lista,≤100
1481208078587650,"Marko Grubelić, načelnik Općine Tribunj",These ads ran without a disclaimer,≤100
414865581996126,Nacional News Magazin,Nacional News Magazin,≤100
107033301057106,Vukovarska Stvarnost,McElit,≤100
167619146997356,Hrvoje Zekanović,Hrvatski suverenisti,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
613858055490098,Željko Kerum,Željko Kerum,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
136900153422435,Tomislav Sokol,Dr. sc. Tomislav Sokol,≤100
122081620813,DNEVNIK.hr,These ads ran without a disclaimer,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske unije,≤100
688325737947866,Telegram.hr,These ads ran without a disclaimer,≤100
768521836539050,Pučko otvoreno učilište Šibenik,These ads ran without a disclaimer,≤100
111421992219589,Dnevno.hr,Logobox d.o.o.,≤100
1480553625495384,Ivan Penava,These ads ran without a disclaimer,≤100
941907929204784,Ivan Lovrinović,Živi zid,≤100
377283356332665,Domagoj Maroević,HDZ - Hrvatska demokratska zajednica,≤100
530488583992543,RTLplay,RTLplay,≤100
305608429284,EU Environment,EU Environment,≤100
500484933617705,Optimum Shop,These ads ran without a disclaimer,≤100
1914254365351413,Saša Poljanec-Borić,Hrvatska socijalno liberalna stranka,≤100
272201060331942,Karlo Ressler,Karlo Ressler,≤100
104734334624040,Mr. sc. Goran Grguričin - GG,HSS Hrvatska,≤100
480559052058396,Europska komisija u Hrvatskoj,Europska komisija u Hrvatskoj,≤100
1120792098049780,Lista našeg mista,Ante Strikoman,≤100
109210060846664,Žetončići 2020.,zetoncici2020,≤100
882200528799871,Franko Vidović,These ads ran without a disclaimer,≤100
136900153422435,Tomislav Sokol,HDZ - Hrvatska demokratska zajednica,≤100
789855157727222,HKS - Hrvatska konzervativna stranka,HKS - Hrvatska konzervativna stranka,≤100
86874647886,Net.hr,These ads ran without a disclaimer,≤100
1774798116169873,Marijan Pavliček,HKS - Hrvatska konzervativna stranka,≤100
1635736753328236,Fortrade Online Trading,These ads ran without a disclaimer,≤100
1984286805018866,Dalija Orešković,Dalija Orešković,≤100
1379977375431894,Eclectica,These ads ran without a disclaimer,≤100
1110561955621886,Josip Bilaver,Josip Bilaver,≤100
984228071666006,Ante Pranić,Ante Pranić,≤100
100971168193648,FOKUS na bitno,FOKUS,≤100
1758512924436183,Nikola Grmoja,These ads ran without a disclaimer,≤100
112121190399322,Centar Stranka,strankasImenomiPrezimenom,≤100
560822223989381,European Christian Political Movement,European Christian Political Movement,≤100
706769699498076,Nova ljevica,Možemo - politička platforma,≤100
176565220704,Zelena akcija / FoE Croatia,Zelena akcija / FoE Croatia,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
136900153422435,Tomislav Sokol,Tomislav Sokol,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
1869390869838007,Reserved,These ads ran without a disclaimer,≤100
408695383042330,Stjepan Adanić,HDZ - Hrvatska demokratska zajednica,≤100
388550077899912,MOST nezavisnih lista,These ads ran without a disclaimer,≤100
100647404815336,Znanstvenici za klimu,Znanstvenici za klimu,≤100
1382789368713509,Ivan Pernar,Ivan Pernar,≤100
451335681696047,Stjepan Ribić,HDZ - Hrvatska demokratska zajednica,≤100
102782071706960,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,Ured za ljudska prava i prava nacionalnih manjina Vlade Republike Hrvatske,≤100
290157866338,Eurokonzalting - EU fondovi,Eurokonzalting - EU fondovi,≤100
1418903245032313,Marijana Petir,Marijana Petir,≤100
482597361772021,Sunčana Glavak,HDZ - Hrvatska demokratska zajednica,≤100
291638950941144,Živi zid,These ads ran without a disclaimer,≤100
114904576995023,Šibenska Stvarnost,Stvarnost.hr,≤100
156989734313125,Hrvatski Telekom,These ads ran without a disclaimer,≤100
121388167968667,Samostalna demokratska srpska stranka SDSS,Samostalna demokratska srpska stranka,≤100
2203684973028242,Katarina Peović,Ivan Paradinović,≤100
309273389409125,SNAGA - Stranka narodnog i građanskog aktivizma,SNAGA,≤100
144188562443964,Davor Božinović,HDZ - Hrvatska demokratska zajednica,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
100267330025110,Slobodna Dalmacija,These ads ran without a disclaimer,≤100
133678452137,Mreža mladih Hrvatske - Croatian Youth Network,Mreža mladih Hrvatske - Croatian Youth Network,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
374159272978399,Građani za Mislava Kolakušića,Kolakusic Mislav,≤100
398097100330332,Europski dom Zagreb,Europski dom Zagreb,≤100
1434305366791182,Ruža Tomašić,Tomasic Ruza,≤100
584048385059605,Nezavisna lista Stipe Petrina,These ads ran without a disclaimer,≤100
410274919036976,Vigilare,Vigilare,≤100
2203684973028242,Katarina Peović,Anita Marin,≤100
198365754440754,Mato Frankovic,These ads ran without a disclaimer,≤100
110503984003109,Gordan Jandroković,HDZ - Hrvatska demokratska zajednica,≤100
287054392229717,Nikolina Brnjac,HDZ - Hrvatska demokratska zajednica,≤100
94301596592,RTL Vijesti,These ads ran without a disclaimer,≤100
2348938408712923,Ante Simonić,Ante Simonić,≤100
195096520662445,Dubravka Suica,HDZ - Hrvatska demokratska zajednica,≤100
231052047413325,GLAS Građansko-liberalni savez,GLAS Građansko-liberalni savez,≤100
508755779649081,Sanja Radolović,Radolovic Sanja,≤100
53917407605,Večernji list,These ads ran without a disclaimer,≤100
125377507527732,"CESI - Centar za edukaciju, savjetovanje i istraživanje","CESI - Centar za Edukaciju, Savjetovanje i Istraživanje",≤100
