Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,4102
107898832590939,European Commission,European Commission,1934
100351174902531,Care4Climate,Care4Climate,1899
339052456846258,Treecelet,These ads ran without a disclaimer,1584
183314631692914,Evropski parlament Slovenija,Evropski parlament Slovenija,1509
32585228571,Janez Janša,SDS - Slovenska demokratska stranka,1417
285304408294792,Levica,Levica,1405
12676777580,Socialni demokrati (SD),Socialni demokrati (SD),1063
135419383441,Žurnal24,Žurnal24,1005
30790585231,SDS - Slovenska demokratska stranka,SDS - Slovenska demokratska stranka,959
195508530477478,Greenpeace Slovenija,Greenpeace Slovenija,710
100107313369390,Evropska komisija v Sloveniji,Evropska komisija v Sloveniji,566
114597496654474,necenzurirano.si,Necenzurirano.si,565
147547541961576,Council of the European Union,Council of the European Union,535
122029977844167,SD Slovenske Konjice,Socialni demokrati (SD),514
233559380524262,Dr. Jernej Štromajer,Socialni demokrati (SD),430
152400648234312,Novice Svet24,Novice Svet24,425
288826994603012,Franc Bogovič,Franc Bogovič,402
1688472281270558,Stranka LMŠ,Stranka LMŠ,348
98358327274,Pirati,Pirati,348
241888532660987,"E 3, energetika, ekologija, ekonomija","E 3, energetika, ekologija, ekonomija",340
111314452327761,NSi,NSi,333
1543883469231132,Nova24TV,Nova24TV,330
168130996671198,Alenka Bratušek,SAB - Stranka Alenke Bratušek,281
141366725876424,European Greens,European Greens,259
339052456846258,Treecelet,Treecelet,236
182328488816688,Balkan River Defence,Balkan River Defence,229
242210245976248,SAB - Stranka Alenke Bratušek,SAB - Stranka Alenke Bratušek,228
288826994603012,Franc Bogovič,Slovenska ljudska stranka (SLS),217
730777973687236,Tektonik kraft pivovarna,Tektonik Kraft Pivovarna,206
305608429284,EU Environment,EU Commission,187
498580787292737,SD Rogaška Slatina,Socialni demokrati (SD),184
259753617393616,Zeleni Slovenije,Zeleni Slovenije,153
387199461316883,Radgonske gorice,Volt media,150
1520205331553514,SD Zreče,Socialni demokrati (SD),141
157689954242062,BMW Slovenija,These ads ran without a disclaimer,131
1212524292238625,Povežimo se,Povežimo se,119
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,111
518210881562141,Alma Mater Europaea - ECM,Alma Mater Europaea - ECM,110
279397488827904,Milan Zver,SDS - Slovenska demokratska stranka,110
241007802613,Slovenska ljudska stranka (SLS),Slovenska ljudska stranka (SLS),106
117001531828776,DH fashion,DH fashion,102
233559380524262,Dr. Jernej Štromajer,Jernej Štromajer,101
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
244237405631368,Demokracija Tednik,Demokracija Tednik,≤100
2008118369496327,Trajnostna energija,"Borzen, d.o.o.",≤100
1193175320710704,Vlada Republike Slovenije,Vlada Republike Slovenije,≤100
2264632877141356,Urša Zgojznik,Lista Povežimo se,≤100
240130223029252,Časopis Slovenec,Slovenska ljudska stranka (SLS),≤100
372152212807425,RR Selection,These ads ran without a disclaimer,≤100
107513767509341,EUYOU,EUYOU,≤100
110273425683097,Union,These ads ran without a disclaimer,≤100
1025408990823719,Romana Tomc,SDS - Slovenska demokratska stranka,≤100
1541413339429015,Patricija Šulin,SDS - Slovenska demokratska stranka,≤100
404082336387362,Ljudmila Novak,Ljudmila Novak,≤100
1427590394196679,Luka Mesec,Levica,≤100
273155307484,Mladi forum SD,Mladi forum SD,≤100
1838954599722440,Matej Tonin,NSi,≤100
1838954599722440,Matej Tonin,These ads ran without a disclaimer,≤100
100849647967813,Childhood Memories,These ads ran without a disclaimer,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
1543883469231132,Nova24TV,These ads ran without a disclaimer,≤100
295393187034,Slovenska tiskovna agencija STA,These ads ran without a disclaimer,≤100
110868810436737,ZA upokojence,ZaUpokojence,≤100
151181901582548,British Embassy Ljubljana,"Foreign, Commonwealth and Development Office",≤100
263670416984862,Malibu Cocktails,These ads ran without a disclaimer,≤100
1563875737250155,Avtodomi Pilote & Filitheo,"Filitheo, d.o.o.",≤100
1592516264370040,Združenje za MOČ,Združenje za MOČ,≤100
