Page ID,Page Name,Disclaimer,Amount Spent (SEK),Number of Ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,14390194,1908
608975645850217,Vattenfall Sverige,Vattenfall Group,12781810,1469
382243262003,Plan International Sverige,Plan International Sverige,8152741,2804
643137272398136,Sverige för UNHCR,Sverige för UNHCR,7774139,3728
72659261793,Rädda Barnen,Rädda Barnen,5276153,2314
111630258867610,Röda Korset,Röda Korset,4651372,2830
59324455950,UNICEF Sverige,UNICEF Sverige,4412728,611
1630862710497879,Oatly,Oatly,3942687,73
95735961890,Greenpeace Sverige,Greenpeace Sverige,3405232,7745
126567104406,Hyresgästföreningen,Hyresgästföreningen,3098696,4277
151159271594797,Systembolaget,Systembolaget,3043023,118
149155351773944,SEB,SEB,2933354,559
179931025357058,Kommunal,Kommunal,2872156,355
369122343101775,e.on,e.on,2507381,466
8040892957,Socialdemokraterna,Socialdemokraterna,2388286,1044
178362315106,European Parliament,European Parliament,2318304,864
111764372185015,Libero Sverige,Libero Sverige,2313946,118
109886133732943,RESCUE - Sverige,RESCUE - Sverige,2201966,431
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,2201299,250
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,2181554,150
236879092476,Håll Sverige Rent,Håll Sverige Rent,2075914,83
369582590803,ETC-tidningarna,ETC-tidningarna,2044932,2644
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),1847773,617
186513678039755,Fortum Sverige,Fortum Sverige,1818452,578
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,1668468,2766
1976528729039324,NRC Sverige,NRC Sverige,1632569,1477
269875318990,Bixia,Bixia,1547960,81
12690894340,Centerpartiet,Centerpartiet,1513988,509
18880778360,ActionAid Sweden,ActionAid Sweden,1500389,906
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,1409186,677
1173808162671999,En bättre framtid,Plan International Sverige,1408185,570
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,1405713,1229
39211568070,Stockholms Stadsmission,Stockholms Stadsmission,1343411,131
124201680936949,Telge Energi,Telge Energi,1316681,608
275809699509029,Fairlo,Fairlo AB,1302808,51
162985227114132,Skellefteå Kraft,Skellefteå Kraft,1257665,46
676246449160270,Sverigedemokraterna,Sverigedemokraterna,1171297,241
7719591155,Moderaterna,Moderaterna,1163821,351
208619589270223,Nextory,Nextory,1145264,180
42676805259,Diakonia,Diakonia,1093749,1303
