Page ID,Page Name,Disclaimer,Amount Spent (EUR)
841035775959950,Coca-Cola,These ads ran without a disclaimer,≤100
48034275355,EPP - European People's Party,EPP - European People's Party,≤100
73232790238,Greenpeace Belgium,Greenpeace Belgium,≤100
109438910430878,Sweet Treats,These ads ran without a disclaimer,≤100
156922821011409,Timberland,PHD Media,≤100
30102123042,Delhaize,Delhaize,≤100
323086684459048,Lipton Ice Tea,These ads ran without a disclaimer,≤100
2146852388859659,Bolt,Bolt Energie,≤100
512123045595812,Frosch Belgium,Frosch Belgium,≤100
145118538898472,Algemene Centrale - ABVV,Algemene Centrale - ABVV,≤100
341174129258800,Georges-Louis Bouchez,Georges-Louis Bouchez,≤100
429961403724404,Garnier,Garnier,≤100
111720736866301,Tattoo Ideas,These ads ran without a disclaimer,≤100
43883239276,Bruxelles Environnement - Leefmilieu Brussel,Bruxelles Environnement - Leefmilieu Brussel,≤100
56605856504,Vlaams Belang,Vlaams Belang,≤100
497336000292988,CHASE,CHASE,≤100
422494677842575,Bplus Belgium,vzw B Plus asbl,≤100
1481442755455778,Parlement de Wallonie,Parlement de Wallonie,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
757337274325696,Michaël Mazuin,Michaël Mazuin,≤100
435580536574680,Cyclis Bike Lease,These ads ran without a disclaimer,≤100
115927911751547,ManiFiesta,ManiFiesta,≤100
103887027648156,Prague Sights,These ads ran without a disclaimer,≤100
112961202185776,IKEA,IKEA,≤100
